CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,IdleL,IdleR,LoadUtl,RunUtl,Cost,Cost Performance Ratio,System,Platform,Region,Zone,Provider
4,15,500,1,32,5,10,6601,71.1,36.3,28.9,63.7,182.09,0.0276,C,GCP,Iowa,us-central1-a,Google
4,15,500,1,64,5,10,8658,71.7,25.4,28.3,74.6,182.09,0.0210,C,GCP,Iowa,us-central1-a,Google
4,15,500,1,128,5,10,11448,70.4,13.9,29.6,86.1,182.09,0.0159,C,GCP,Iowa,us-central1-a,Google
4,15,500,1,256,5,10,14005,71.9,8.3,28.1,91.7,182.09,0.0130,C,GCP,Iowa,us-central1-a,Google
4,15,500,1,512,5,10,15329,71.6,4.3,28.4,95.7,182.09,0.0119,C,GCP,Iowa,us-central1-a,Google
4,15,500,1,1024,5,10,15695,71.2,3.2,28.8,96.8,182.09,0.0116,C,GCP,Iowa,us-central1-a,Google
8,30,500,1,16,5,10,6286,84.8,68.2,15.2,31.8,279.18,0.0444,D,GCP,Iowa,us-central1-a,Google
8,30,500,1,32,5,10,8728,84.3,59.8,15.7,40.2,279.18,0.0320,D,GCP,Iowa,us-central1-a,Google
8,30,500,1,64,5,10,11381,85.2,47.1,14.8,52.9,279.18,0.0245,D,GCP,Iowa,us-central1-a,Google
8,30,500,1,128,5,10,16264,85.0,29.7,15.0,70.3,279.18,0.0172,D,GCP,Iowa,us-central1-a,Google
8,30,500,1,256,5,10,20890,85.7,25.5,14.3,74.5,279.18,0.0134,D,GCP,Iowa,us-central1-a,Google
8,30,500,1,512,5,10,22429,84.2,21.1,15.8,78.9,279.18,0.0124,D,GCP,Iowa,us-central1-a,Google
8,30,500,1,1024,5,10,23689,85.5,22.4,14.5,77.6,279.18,0.0118,D,GCP,Iowa,us-central1-a,Google
16,60,10,1,16,1,10,1510,93.8,97.2,6.2,2.8,390.06,0.2583,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,32,1,10,3452,93.2,94.8,6.8,5.2,390.06,0.1130,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,64,1,10,9251,93.7,88.7,6.3,11.3,390.06,0.0422,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,128,1,10,21761,92.9,74.3,7.1,25.7,390.06,0.0179,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,256,1,10,23760,93.5,72.4,6.5,27.6,390.06,0.0164,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,512,1,10,24026,93.0,71.9,7.0,28.1,390.06,0.0162,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,1024,1,10,23012,93.1,72.8,6.9,27.2,390.06,0.0170,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,16,5,10,1155,93.3,97.1,6.7,2.9,390.06,0.3377,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,32,5,10,1719,93.9,96.4,6.1,3.6,390.06,0.2269,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,64,5,10,2794,93.1,94.6,6.9,5.4,390.06,0.1396,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,128,5,10,5225,93.5,92.1,6.5,7.9,390.06,0.0747,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,256,5,10,9228,93.6,87.9,6.4,12.1,390.06,0.0423,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,512,5,10,12257,93.4,83.9,6.6,16.1,390.06,0.0318,F,GCP,Iowa,us-central1-a,Google
16,60,10,1,1024,5,10,12228,93.2,84.3,6.8,15.7,390.06,0.0319,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,16,1,10,6149,93.8,87.7,6.2,12.3,473.36,0.0770,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,32,1,10,11218,93.9,82.7,6.1,17.3,473.36,0.0422,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,64,1,10,18643,93.3,75.6,6.7,24.4,473.36,0.0254,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,128,1,10,23433,93.7,73.3,6.3,26.7,473.36,0.0202,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,256,1,10,24232,93.5,72.6,6.5,27.4,473.36,0.0195,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,512,1,10,24047,93.3,73.2,6.7,26.8,473.36,0.0197,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,1024,1,10,23497,93.7,72.8,6.3,27.2,473.36,0.0201,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,16,5,10,7032,93.5,86.8,6.5,13.2,473.36,0.0673,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,32,5,10,9862,93.3,85.3,6.7,14.7,473.36,0.0480,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,64,5,10,13296,93.6,80.2,6.4,19.8,473.36,0.0356,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,128,5,10,19632,93.1,73.8,6.9,26.2,473.36,0.0241,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,256,5,10,26142,92.9,63.2,7.1,36.8,473.36,0.0181,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,512,5,10,29043,93.9,58.3,6.1,41.7,473.36,0.0163,F,GCP,Iowa,us-central1-a,Google
16,60,500,1,1024,5,10,30266,92.8,57.5,7.2,42.5,473.36,0.0156,F,GCP,Iowa,us-central1-a,Google
12,45,10,0,16,1,10,1458,90.7,96.9,9.3,3.1,306.06,0.2099,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,32,1,10,3318,91.3,92.5,8.7,7.5,306.06,0.0922,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,64,1,10,9974,91.1,78.3,8.9,21.7,306.06,0.0307,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,128,1,10,22095,91.5,58.4,8.5,41.6,306.06,0.0139,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,256,1,10,23182,91.4,56.3,8.6,43.7,306.06,0.0132,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,512,1,10,23378,90.7,56.7,9.3,43.3,306.06,0.0131,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,1024,1,10,23528,91.4,56.7,8.6,43.3,306.06,0.0130,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,16,5,10,872,91.0,97.4,9.0,2.6,306.06,0.3510,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,32,5,10,1182,91.2,96.5,8.8,3.5,306.06,0.2589,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,64,5,10,1592,91.4,95.9,8.6,4.1,306.06,0.1922,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,128,5,10,3421,90.9,92.1,9.1,7.9,306.06,0.0895,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,256,5,10,8466,91.1,83.6,8.9,16.4,306.06,0.0362,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,512,5,10,24776,91.3,52.1,8.7,47.9,306.06,0.0124,E,GCP,Iowa,us-central1-a,Google
12,45,10,0,1024,5,10,23651,90.8,52.8,9.2,47.2,306.06,0.0129,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,16,1,10,3217,91.4,92.2,8.6,7.8,325.66,0.1012,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,32,1,10,8176,90.8,83.8,9.2,16.2,325.66,0.0398,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,64,1,10,14461,91.3,74.4,8.7,25.6,325.66,0.0225,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,128,1,10,22189,91.6,65.5,8.4,34.5,325.66,0.0147,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,256,1,10,23003,90.7,64.2,9.3,35.8,325.66,0.0142,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,512,1,10,23071,91.4,65.1,8.6,34.9,325.66,0.0141,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,1024,1,10,23060,90.9,64.3,9.1,35.7,325.66,0.0141,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,16,5,10,2713,90.7,92.9,9.3,7.1,325.66,0.1200,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,32,5,10,3760,91.2,90.8,8.8,9.2,325.66,0.0866,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,64,5,10,5554,91.3,86.8,8.7,13.2,325.66,0.0586,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,128,5,10,10767,91.1,75.2,8.9,24.8,325.66,0.0302,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,256,5,10,18414,91.2,55.8,8.8,44.2,325.66,0.0177,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,512,5,10,25927,90.8,46.6,9.2,53.4,325.66,0.0126,E,GCP,Iowa,us-central1-a,Google
12,45,500,0,1024,5,10,27408,91.4,43.3,8.6,56.7,325.66,0.0119,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,16,1,10,1536,91.1,95.6,8.9,4.4,307.36,0.2001,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,32,1,10,3491,91.3,92.2,8.7,7.8,307.36,0.0880,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,64,1,10,9002,90.9,81.3,9.1,18.7,307.36,0.0341,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,128,1,10,20680,90.8,65.2,9.2,34.8,307.36,0.0149,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,256,1,10,21464,91.2,64.1,8.8,35.9,307.36,0.0143,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,512,1,10,21606,91.1,63.7,8.9,36.3,307.36,0.0142,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,1024,1,10,21663,90.9,63.7,9.1,36.3,307.36,0.0142,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,16,5,10,1206,91.3,95.4,8.7,4.6,307.36,0.2549,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,32,5,10,1837,91.5,94.2,8.5,5.8,307.36,0.1673,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,64,5,10,3015,90.8,92.4,9.2,7.6,307.36,0.1019,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,128,5,10,5435,90.9,88.4,9.1,11.6,307.36,0.0566,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,256,5,10,9711,91.2,79.2,8.8,20.8,307.36,0.0317,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,512,5,10,12711,91.1,72.2,8.9,27.8,307.36,0.0242,E,GCP,Iowa,us-central1-a,Google
12,45,10,1,1024,5,10,12503,91.3,71.7,8.7,28.3,307.36,0.0246,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,16,1,10,5534,91.2,85.3,8.8,14.7,390.66,0.0706,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,32,1,10,9415,91.1,79.2,8.9,20.8,390.66,0.0415,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,64,1,10,15879,90.8,72.2,9.2,27.8,390.66,0.0246,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,128,1,10,19823,90.8,61.9,9.2,38.1,390.66,0.0197,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,256,1,10,20006,91.4,62.4,8.6,37.6,390.66,0.0195,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,512,1,10,20428,90.9,61.3,9.1,38.7,390.66,0.0191,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,1024,1,10,20971,91.1,60.7,8.9,39.3,390.66,0.0186,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,16,5,10,6287,91.3,84.1,8.7,15.9,390.66,0.0621,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,32,5,10,8870,91.1,81.6,8.9,18.4,390.66,0.0440,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,64,5,10,12111,91.2,72.7,8.8,27.3,390.66,0.0323,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,128,5,10,17950,90.9,64.8,9.1,35.2,390.66,0.0218,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,256,5,10,23970,90.7,55.4,9.3,44.6,390.66,0.0163,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,512,5,10,26818,90.9,47.3,9.1,52.7,390.66,0.0146,E,GCP,Iowa,us-central1-a,Google
12,45,500,1,1024,5,10,28319,90.8,40.9,9.2,59.1,390.66,0.0138,E,GCP,Iowa,us-central1-a,Google
